Results for illegal audios:

    audio name = 260-123286-0008.wav, index = 23, energy = 0.000000
    audio name = 260-123286-0019.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0003.wav, index = 30, energy = 0.000000
    audio name = 260-123286-0005.wav, index = 23, energy = 0.000000
    audio name = 260-123286-0014.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0016.wav, index = 20, energy = 0.000000
    audio name = 260-123286-0015.wav, index = 21, energy = 0.000000
    audio name = 260-123286-0021.wav, index = 19, energy = 0.000000
    audio name = 260-123286-0018.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0001.wav, index = 20, energy = 0.000000
    audio name = 260-123286-0012.wav, index = 6, energy = 0.000000
    audio name = 260-123286-0009.wav, index = 6, energy = 0.000000
    audio name = 260-123286-0010.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0013.wav, index = 4, energy = 0.000000
    audio name = 260-123286-0020.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0022.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0002.wav, index = 1, energy = 0.000000
    audio name = 260-123286-0024.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0017.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0004.wav, index = 25, energy = 0.000000
    audio name = 260-123286-0023.wav, index = 583, energy = 0.000000
    audio name = 260-123286-0011.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0007.wav, index = 451, energy = 0.000000
    audio name = 260-123286-0000.wav, index = 0, energy = 0.000000
    audio name = 260-123286-0006.wav, index = 0, energy = 0.000000
    audio name = 6829-68769-0008.wav, index = 434, energy = 0.000009
    audio name = 6829-68769-0001.wav, index = 421, energy = 0.000014
    audio name = 6829-68769-0017.wav, index = 19, energy = 0.000012
    audio name = 6829-68769-0006.wav, index = 25, energy = 0.000013
    audio name = 6829-68769-0014.wav, index = 335, energy = 0.000014
    audio name = 6829-68769-0020.wav, index = 18, energy = 0.000008
    audio name = 6829-68769-0022.wav, index = 223, energy = 0.000033
    audio name = 6829-68769-0010.wav, index = 260, energy = 0.000027
    audio name = 6829-68769-0000.wav, index = 7, energy = 0.000005
    audio name = 6829-68769-0005.wav, index = 365, energy = 0.000012
    audio name = 6829-68769-0019.wav, index = 16, energy = 0.000055
    audio name = 6829-68769-0018.wav, index = 26, energy = 0.000006
    audio name = 6829-68769-0004.wav, index = 22, energy = 0.000007
    audio name = 6829-68769-0007.wav, index = 14, energy = 0.000019
    audio name = 6829-68769-0013.wav, index = 178, energy = 0.000007
    audio name = 6829-68769-0003.wav, index = 14, energy = 0.000014
    audio name = 6829-68769-0023.wav, index = 354, energy = 0.000023
    audio name = 6829-68769-0016.wav, index = 398, energy = 0.000008
    audio name = 6829-68769-0024.wav, index = 462, energy = 0.000011
    audio name = 6829-68769-0009.wav, index = 42, energy = 0.000053
    audio name = 6829-68769-0011.wav, index = 302, energy = 0.000018
    audio name = 6829-68769-0002.wav, index = 19, energy = 0.000010
    audio name = 6829-68769-0015.wav, index = 13, energy = 0.000010
    audio name = 6829-68769-0012.wav, index = 25, energy = 0.000008
    audio name = 6829-68769-0021.wav, index = 289, energy = 0.000026
    audio name = 237-126133-0015.wav, index = 913, energy = 0.000047
    audio name = 237-126133-0023.wav, index = 481, energy = 0.000042
    audio name = 237-126133-0012.wav, index = 31, energy = 0.000054
    audio name = 237-126133-0001.wav, index = 1005, energy = 0.000040
    audio name = 237-126133-0018.wav, index = 159, energy = 0.000044
    audio name = 237-126133-0000.wav, index = 1143, energy = 0.000041
    audio name = 237-126133-0007.wav, index = 690, energy = 0.000047
    audio name = 237-126133-0013.wav, index = 314, energy = 0.000037
    audio name = 237-126133-0010.wav, index = 609, energy = 0.000045
    audio name = 237-126133-0016.wav, index = 198, energy = 0.000045
